AGCnum,SrcName,RAdeg,Decdeg,wappfile,#pr,d/n,quad,cont,ord,Xsmo,rms,fit,W50,Werr,Vsys,Flux,SN,Wqual,Comment
123087,S022135.7+313425,35.39875,31.57361,wapp.20151127.a2982.0026,1,d,2,-11.29,2,H3,0.932,2p,83.9,10.14,5057.12,0.277,5.36,U,poor quality
125238,S022515.5+323049,36.31459,32.51361,wapp.20151125.a2982.0021,1,d,2,-23.46,2,H3,0.987,g,98.67,5.93,4490.45,0.597,10.04,N,"not completely happy with the fit - signal is a little too wide at top for a good fit with a guassian, but not horns?"
122936,S022621.3+252359,36.58875,25.39972,wapp.20151120.a2982.0025,1,d,3,-21,1,H3,0.859,2p,180.05,6.43,10634.51,0.854,12.4,Y,
124040,S022828.1+221355,37.11708,22.23195,wapp.20161125.a3064.0013,1,d,2,-1.81,1,H3,1.018,g,56.16,1.57,4333.33,0.328,7.09,N,"a little asymetric, but too narrow for two-horned?"
120300,S023052.9+252427,37.72042,25.4075,wapp.20161112.a3064.0000,1,d,2,-3.73,1,H3,0.976,2p,266.5,13.71,5289.64,0.911,9.43,Y,
125240,S023150.8+325355,37.96167,32.89861,wapp.20161124.a3064.0022,1,d,2,1.456,0,H3,1.1,2p,171.93,15.47,4683.85,0.906,10.36,Y,
124897,S023825.4+355139,39.60583,35.86083,wapp.20151128.a2982.0024,1,d,2,-1.283,1,H3+B5,0.927,2p,136.23,15.53,5083.57,0.476,7.26,U,"poor quality, might be OK for BTFR"
124902,S024648.7+360946,41.70292,36.16278,wapp.20151128.a2982.0025,1,d,2,1.156,2,H3,1.148,2p,124.44,16.93,5048.73,0.394,5.07,U,"poor quality, might be OK for BTFR"
124611,S024715.6+335932,41.815,33.99222,wapp.20151130.a2982.0024,1,d,3,0.645,1,H3,1.054,2p,235.95,2.27,8518.79,1.645,17.01,Y,"strong signal, not sure about the fit - very steep on both sides"
124903,S024822.4+340612,42.09333,34.10333,wapp.20161017.a3064.0008,1,d,2,7.091,1,H3,1.134,g,77.89,2.84,5140.7,0.809,13.33,N,
125245,S025139.7+334648,42.91542,33.78,wapp.20151125.a2982.0022,1,d,2,-6.578,5,H3,0.996,2p,68.57,4.02,4347.07,0.714,14.27,Y,very narrow - a little difficult to fit profile
131363,S030156.6+280042,45.48708,28.02139,wapp.20151026.a2982.0006,1,d,2,-7.361,1,H3,1.283,2p,112.34,11.58,5599.22,0.792,9.6,Y,
323100,S222012.7+331832,335.05295,33.30889,wapp.20151127.a2982.0003,1,d,2,4.285,2,H3,0.958,2p,75.45,6.73,6368.32,0.608,12.94,Y,
322064,H222601.7+225346,336.50708,22.90556,wapp.20141127.a2899.0000,1,d,1,-67.933,4,H3,1.133,g,36.61,1.68,1273.26,0.432,10.25,N,craziness in board 3 - not clear the culprit
323102,S224812.0+324145,342.04999,32.69584,wapp.20151127.a2982.0004,1,d,2,-16.654,1,H3,1.0561,2p,59.3,5.4,6835.91,0.393,7.97,Y,
322668,S225253.6+332236,343.22333,33.37666,wapp.20151127.a2982.0005,1,d,2,-8.602,2,H3,1.038,g,47.08,1.47,6382.68,0.652,15.1,N,
322636,S225912.7+242318,344.8029,24.3883,wapp.20151024.a2982.0010,1,n,0,0,0,0,0,0,0,0,0,0,0,0,
335255,S230515.3+342514,346.31375,34.42056,wapp.20151130.a2982.0009,1,d,2,-197.982,7,H3,1.0855,g,61.25,3.34,5941.76,0.465,9.02,N,interesting baseline
336113,S230625.5+324302,346.60626,32.71722,wapp.20151127.a2982.0006,1,d,2,-10.543,1,H3,1.013,2p,129.96,9.53,6248.99,0.662,9.45,Y,
335256,S231828.9+342205,349.62042,34.36805,wapp.20151127.a2982.0007,1,d,2,29.558,4,H3,1.158,2p,88.2,11.37,5276.91,0.323,4.9,U,"poor quality, not sure"
333235,S234644.0+263817,356.68332,26.63806,wapp.20151130.a2982.0010,1,d,3,-6.561,0,H3,1.0322,g,37.39,2.26,8242.06,0.3,7.94,N,
335587,S235050.9+360132,357.7121,36.02555,wapp.20161015.a3064.0011,1,d,3,-0.908,1,H3,1.284,2p,164.62,16.57,8459.04,0.891,9.05,Y,
